0,玩家,836
1,胡斐,1018
2,程灵素,1200
3,苗人凤,1382
4,阎基,1564
5,张三丰,1746
6,灭绝师太,1928
7,何太冲,2110
8,唐文亮,2292
9,张无忌,2474
A,范遥,2656
B,杨逍,2838
C,殷天正,3020
D,谢逊,3202
E,韦一笑,3384
F,金花婆婆,3566
10,胡青牛,3748
11,王难姑,3930
12,成昆,4112
13,岳不群,4294
14,莫大,4476
15,定闲,4658
16,左冷禅,4840
17,天门道长,5022
18,余沧海,5204
19,蓝凤凰,5386
1A,任我行,5568
1B,东方不败,5750
1C,平一指,5932
1D,田伯光,6114
1E,风清扬,6296
1F,丹青生,6478
20,秃笔翁,6660
21,黑白子,6842
22,黄钟公,7024
23,令狐冲,7206
24,林平之,7388
25,狄云,7570
26,石破天,7752
27,龙岛主,7934
28,木岛主,8116
29,张三,8298
2A,李四,8480
2B,白万剑,8662
2C,岳老三,8844
2D,薛慕华,9026
2E,丁春秋,9208
2F,阿紫,9390
30,游坦之,9572
31,虚竹,9754
32,乔峰,9936
33,慕容复,10118
34,苏星河,10300
35,段誉,10482
36,袁承志,10664
37,郭靖,10846
38,黄蓉,11028
39,黄药师,11210
3A,杨过,11392
3B,小龙女,11574
3C,欧阳锋,11756
3D,欧阳克,11938
3E,金轮法王,12120
3F,程英,12302
40,周伯通,12484
41,一灯,12666
42,神算子,12848
43,裘千仞,13030
44,丘处机,13212
45,洪七公,13394
46,玄慈,13576
47,洪教主,13758
48,孔八拉,13940
49,南贤,14122
4A,北丑,14304
4B,厨师,14486
4C,王语嫣,14668

